Name_of_Mitigation_Action,Sector_Affected,GHGs_Affected,Objective_andor_Activity_Affected,Type_of_Instrument,Status_of_Implementation,Start_year_of_Implementation,Implementation_Entity,Estimate_of_Mitigation_Impact_in_2020_Kt_CO2_eq,Estimate_of_Mitigation_Impact_in_2030_Kt_CO2_eq,Brief_Description
Québec’s Capand-Trade System for Greenhouse Gas Emission Allowances*,Cross-cutting,"CH4, CO2, HFCs, N2O, NF3, PFCs, SF6",Reduce GHG emissions across the economy,Economic,Implemented,2013,Québec,NEc,NEc,"The Québec government’s cap-and-trade system for greenhouse gas emissions has been in operation since 2013 and has been fully linked to California’s system since 2014. The Québec system covers industry, electricity production and imports as well as fuel distribution, which together account for about 85% of Québec’s GHG emissions. Offset protocols are also in place in sectors not covered by the system. By the end of 2019, Québec and California will have held a total of twenty-one joint auctions of GHG emission allowances. Ontario’s cap-and-trade system was linked with that of Québec and California from January to June 2018, but was then cancelled. Estimation of mitigation impact in 2020 and 2030: Caps for 2020 have been set on a declining linear trajectory to help achieve Québec’s GHG emission target of 20% below 1990 levels, caps from 2021 to 2030 have been similarly set from 55.26 Mt CO2 eq in 2021 to 44.14 Mt CO2 eq in 2030 to help achieve Québec’s target of 37.5% below 1990 levels in that year."
Québec EcoPerformance Program*,Cross-cutting,"CO2, HFCs",Reduce GHG emissions,Economic,Implemented,2013,Québec,913,NEh,"The Ecoperformance program is available to businesses, institutions and municipalities. Both small and large energy consumers can apply for financial assistance. The program aims to improve the energy efficiency of commercial and institutional buildings as well as that of industrial processes in order to reduce fugitive and regular GHG emissions in processes and to diminish the consumption of fossil fuels. In addition to direct reductions projected in the short term, indirect, longer term mitigation impacts are also expected."
Québec Regulation Respecting Halocarbons,Cross-cutting,HFCs,Reduce halocarbon emissions,Regulatory,Planned,2020,Québec,NEc,NEc,"The Regulation respecting halocarbons came into effect in 2004. Proposed amendments to this regulation are currently under review. The amendments propose a partial ban on HFCs and aim to encourage the adoption of new technologies. They also specify the standards related to the recycling of halocarbons, the actions to be taken in the event of leakage and the treatment of used halocarbons. The mitigation impact of this measure is included in the estimate for the federal measure Regulation of Hydrofluorocarbons."
Québec Technoclimat Program,Cross-cutting,"CH4, CO2, HFCs, N2O, NF3, PFCs, SF6",Develop new innovative technologies or processes in the areas of energy efficiency,Economic,Implemented,2013,Québec,NEh,NEh,"The objective of Technoclimat is to encourage the development, in Québec, of technological innovation in the areas of energy efficiency, renewable energies, bioenergies and GHG emission reductions by offering financial assistance to project promoters who wish to demonstrate the potential of technological innovation. It also promotes the testing in Québec of technologies that are either unavailable or not widely available in the Québec market. "
New Brunswick Energy Efficiency Act and Regulations ,Cross-cutting,CO2,Improve efficiency standards for products sold within the province,Regulatory,Implemented,1992,New Brunswick,NEh,NEh,Reduce GHGs by increasing the minimum level of efficiency of products (appliances and equipment) sold in the province. 
Nova Scotia Capand-Trade Program*,Cross-cutting,"CH4, CO2, HFCs, N2O, NF3, PFCs, SF6",Reduce GHG emissions across Nova Scotia's economy,Regulatory,Implemented ,2019,Nova Scotia,170,NEh,"As part of the Pan-Canadian Framework on Clean Growth and Climate Change, Nova Scotia implemented a cap-and-trade program which covers approximately 80% of GHG emissions in the province. Estimation of mitigation impact in the first compliance period from 2019 to 2022 is a cumulative total of at least 650 Kt CO2 eq."
Prince Edward Island Climate Change Action Plan**,Cross-cutting,"CO2, CH4, N2O",Reduce emissions and increase climate resilience,Voluntary Agreement,Planned,2018,Prince Edward Island,NEh,180,"Prince Edward Island has developed a Climate Change Action Plan. This plan will help the province reduce emissions and better prepare for a changing climate. It includes commitments in five areas and 32 action items to be completed over a five-year period (2018-2023). PEI also recently adopted a new 2030 GHG target–40% below 2005 levels. A Special Standing Committee on Climate Change, with representatives from all three parties in PEI’s government, will be struck to assess plans to further reduce greenhouse gas emissions to meet the new, more ambitious target."
Prince Edward Island Climate Leadership Act*,Cross-cutting,CO2,Reduce the use of fossil fuels for heating and transportation ,Regulatory,Implemented,2019,Prince Edward Island,NEh,NEh,"Prince Edward Island is administering a carbon levy in the province, and the federal government is administering the federal output-based system for large emitters. The carbon levy is administered through the Climate Leadership Act and began applying on April 1, 2019. The price started at $20/tonne in 2019 and will increase in increments of $10/ tonne/year until the price reaches $50/tonne.  First Ministers committed to reviewing carbon pollution pricing across Canada in 2022 with an interim review in 2020. PEI will participate in this review. PEI will continue efforts to implement the Climate Change Action Plan (May 2018)."
Prince Edward Island Energy Strategy,Cross-cutting,CO2,Reduce energy use and develop renewable energy,Voluntary Agreement,Adopted,2016,Prince Edward Island,NEh,NEh,"Prince Edward Island has developed a 10-year energy strategy to reduce energy use, establish cleaner and locally produced energy sources and moderate future energy price increases. The Strategy is guided by three principles: lowering greenhouse gas emissions, cost-effectiveness, and creating local economic opportunities."
Prince Edward Island Take Charge Public Education Campaign,Cross-cutting,CO2,Reduce emissions from residential homes and vehicles,Education,Implemented,2023,Prince Edward Island,NEb,NEh,"In March 2019, the province launched the Take Charge: Action for Climate Change campaign (takechargeforclimate.com). This informational website and multi-media campaign provides Islanders with information about climate change and its impact, while inspiring individuals and families to make changes in their day-to-day lives that contribute to climate solutions."
Newfoundland and Labrador carbon pricing*,Cross-cutting,"CH4, CO2, N2O, HFCs, PFCs, SF6, NF3 ",Implement a carbon pricing system to reduce GHG emissions from all sectors of the economy ,Regulatory,Implemented,2019,Newfoundland and Labrador,NEc,NEc,"Newfoundland and Labrador’s carbon pricing system for greenhouse gas emissions came in to force on January 1, 2019 and covers over 90% of GHG emission in the province (some covered emissions are exempted within the program). It conceptually mirrors the federal approach by applying a carbon tax “at the pump” and implementing performance standards for large industrial facilities. This system is expected to allow the province to make progress toward its 2020 GHG reduction target (to reduce GHGs by 10% below 1990 levels) and 2030 GHG reduction target (to reduce GHGs by 30% below 2005 levels)."
Northwest Territories GHG Grant Program,Cross-cutting,CO2,Provide support for energy efficiencies over and above the fiscal capacity of Arctic Energy Alliance,Fiscal,Implemented,2019,Northwest Territories,NEh,118,"The Northwest Territories launched the GHG Grant Program, with support from Environment and Climate Change Canada. The program provides fiscal support to various recipients including Indigenous, municipal and Territorial Governments; businesses; non-profits; and individual building owners, whom implement a project that reduces GHG emissions within the Northwest Territories."
Nunavut new district heating systems,Cross-cutting,CO2,Reduction of fossil fuel consumption,Voluntary Agreement,Implemented ,2018,Nunavut’s Utility (Qulliq Energy Corporation),0.82,7.37,"The communities of Sanikiluaq and Taloyoak, in Nunavut, will benefit from a new district heating system that will help reduce the territory’s fuel consumption and cut carbon emissions. The project, funded by the Government of Canada’s Low Carbon Economy Fund, captures residual heat from power generation and provides space and hot water heating to nearby commercial and institutional buildings, allowing customers to save on energy costs and extend the life of their heating equipment. Feasibility studies estimate that a new district heating system in Sanikiluaq and Taloyoak will displace approximately 298,000 litres of fuel and reduce emissions by 830 tonnes of CO2 annually."
Clean Energy for Rural and Remote Communities*,Electricity,CO2,Reduce consumption of diesel fossil fuels,Economic,Implemented,2018,Natural Resources Canada,NAa,138,"This is a Green Infrastructure program under the Investing in Canada Plan. The program provides up to $220 million in funding for renewable energy projects in rural and remote communities to reduce their reliance on diesel and other fossil fuels. Activities include deployment of new renewable energy technologies, demonstration of innovative clean energy solutions, support for the development of bioheating projects, and capacity building. Funding for more than 70 projects was allocated through two funding streams targeting projects and capacity building. "
ecoENERGY for Renewable Power Program*,Electricity,CO2,Reduce GHG emissions by increasing renewable electricity supply in Canada,Economic,Implemented,2007,Natural Resources Canada,6000,6000,"The program offers an incentive of 1￠per kilowatt-hour of electricity produced over a period of ten years from qualifying low-impact renewable energy projects built before March 31, 2011."
Emerging Renewable Power*,Electricity,CO2,Support deployment of emerging renewable power projects ,Economic,Implemented,2018,Natural Resources Canada,NAa,227,"This is a Green Infrastructure program under the Investing in Canada Plan. The $200 million Emerging Renewable Power Program was launched in February 2018 to support the deployment of emerging renewable energy technologies and to expand the portfolio of commercially viable renewable energy sources available to provinces and territories as they work to reduce GHG emissions from their electricity sectors. The call for proposals launched on February 26, 2018 and closed on April 20, 2018. Four projects have since been announced; with $29.8 million funding for an instream tidal project in the Bay of Fundy, Nova Scotia, $25.6 million for a deep geothermal project near Estevan Saskatchewan, $15.3 million for a solar project near Suffield Alberta and $25.4 million for a deep geothermal project in the Municipal District of Greenview."
Reduction of CO2  Emissions from the Amendments to the Coal-Fired Generation of Electricity Regulations* ,Electricity,CO2,Reduce GHG emissions from coal-fired electricity generation,Regulatory,Implemented,2015,Environment and Climate Change Canada,NAb,12800,"Regulations under the Canadian Environmental Protection Act (1999) apply a performance standard to new coal-fired electricity generation units and to existing units once they reach a defined period of operating life (generally 45-50 years). Amendments to the Reduction of Carbon Dioxide Emissions from Coal-fired Generation of Electricity Regulations, which were finalized and published in the Canada Gazette, Part II on December 12, 2018, require all coal-fired electricity generating units to comply with an emissions performance standard of 420 tonnes of carbon dioxide per gigawatt hour of electricity produced (tonnes of CO2/GWh) by 2030, at the latest. This performance standard is designed to phase out conventional coal-fired electricity by the end of its operating life, or by 2030, whichever comes first."
Regulations Limiting CO2 Emissions from Natural Gas-Fired Electricity*,Electricity,CO2,Limit GHG emissions from natural gas-fired electricity,Regulatory,Implemented,2019,Environment and Climate Change Canada,NEc,NEc,"The Regulations Limiting Carbon Dioxide Emissions from Natural Gas-fired Generation of Electricity were finalized and published in the Canada Gazette, Part II on December 12, 2018. The regulations for natural gas-fired electricity ensure that new natural gas-fired electricity generation uses efficient technology. The regulations will encourage companies to convert their coal units to natural gas ahead of their end-of-life under the amended coal regulations, while also providing assurance that higher emitting coal-to-gas converted units will be phased out more rapidly than better performers. "
Smart Grid program*,Electricity,CO2,"Support the deployment of integrated smart grid systems and the demonstration of promising, nearcommercial smart grid technologies",Economic,Implemented,2018,Natural Resources Canada,NAa,900,"The program will invest up to $100 million to accelerate the transition to a clean growth economy by better utilizing the existing capacity of electricity assets, increasing the penetration of renewable generation, increasing the reliability, resiliency, and flexibility of the power system while maintaining cyber security, and reducing GHG emissions. Twenty projects have been selected to receive funding under this program. This is a Green Infrastructure program under the Investing in Canada Plan. "
Strategic Interconnections of Electricity Grids*,Electricity,CO2,Support large clean electricity generation and transmission projects that significantly reduce GHG emissions,Economic,Implemented,2018,"Infrastructure Canada, Canada Infrastructure Bank, Natural Resources Canada",NEb,3500,"The program provides financial support to large clean electricity generation and transmission projects that can transmit clean electricity from provinces and regions with abundant renewable energy resources to provinces and regions seeking to reduce reliance on fossil fuels for electricity generation. Negotiations on Integrated Bilateral Agreements began in fall 2017 and concluded in October 2018; Infrastructure Bank became operational in 2018. Several projects are underway. Under the $9.2 billion Green stream of the Investing in Canada Infrastructure Program, delivered through Integrated Bilateral Agreements, there has been one publically announced strategic interconnection project to date. This electrification project underway in British Columbia is entitled the Peace Region Electricity Supply, and will connect the existing LNG industry to renewable energy to power their processes. As modelled in the Regional Electricity Cooperation and Strategic Infrastructure reports, this project has the potential to reduce 2.6Mt of greenhouse gases in 2030. "
Additional Interconnections of Electricity Grids**,Electricity,CO2,Support large clean electricity generation and transmission projects that significantly reduce GHG emissions,Economic,Planned,2019,"Infrastructure Canada, Canada Infrastructure Bank, Natural Resources Canada",NEb,2500,The program provides financial support to large clean electricity generation and transmission projects that can transmit clean electricity from provinces and regions with abundant renewable energy resources to provinces and regions seeking to reduce reliance on fossil fuels for electricity generation. Negotiations on Integrated Bilateral Agreements began in fall 2017 and concluded in October 2018; Infrastructure Bank became operational in 2018. Several additional projects are planned. 
British Columbia Clean Energy Act: Clean or Renewable Electricity Requirement*,Electricity,"CO2, CH4",Maintain low carbon electricity supply,Regulatory,Implemented,2010,British Columbia,NEh,NEh,"British Columbia continued to exceed its target of 93% clean electricity, with 98% generated from clean sources in 2018. BC amended the Greenhouse Gas Reduction (Clean Energy) Regulation to support the development of additional transmission infrastructure in northeast BC to provide clean electricity to meet increasing demand from the upstream naturalgas sector. "
Alberta Coal-Fired Electricity Generation phaseout*,Electricity,CO2,Phase out the use of coal as a source of electricity by 2030,Regulatory,Planned,2023,Alberta,NEc,NEc ,"As part of Alberta’s Climate Leadership Plan announced in 2015, pollution from coal-fired sources of electricity will be phased out completely by 2030. Estimate of mitigation impact in 2030 is included in Large Emitter Greenhouse Gas Regulations impacts. "
Alberta Renewable Electricity Program*,Electricity,CO2,Increase renewable energy capacity ,Economic,Implemented,2017,Alberta,NEc ,NEc ,The Renewable Electricity supported development of 1100 megawatts of renewable electricity capacity to be connected to the Alberta grid system by 2021. The program was run through a series of competitions in 2017 and 2018 to incent the development of renewable electricity generation through the purchase of renewable attributes. Estimate of mitigation impact in 2020 and 2030 is included in Large Emitter Greenhouse Gas Regulations impacts.
Saskatchewan Regulation Respecting the Management and Reduction of Greenhouse Gases (General and Electricity Producer),Electricity,CO2,Reduce emissions from electricity generation ,Regulatory,Implemented,2018,Saskatchewan,NEc,NAc,"The Management and Reduction of Greenhouse Gases (General and Electricity Producer) Regulations came in force January 1, 2018. The regulations impose a greenhouse gas emissions cap on coal and gas-fired electricity generators in the province (namely SaskPower), and impose a minor reporting obligation on independent power producers. In June 2019, an equivalency agreement for coal-fired electricity regulations between Saskatchewan and Canada was finalized. The agreement enables SaskPower to manage a decrease in the use of coal on a fleet-wide basis, rather than on a facility basis, and will supplant federal regulations effective January 1, 2020. The mitigation impact of this measure is included in the estimate for the federal measure Reduction of CO2 Emissions from the Amendments to the Coal-Fired Generation of Electricity Regulations."
SaskPower Programs,Electricity,"CO2, CH4",Increase carbon neutral generation,Voluntary Agreement,Adopted,2018,Saskatchewan,NEh,NEh,"In October 2018, SaskPower introduced the new Power Generation Partner Program (PGPP) to replace the existing Small Power Producers and Flare Gas Power Generation Programs. The PGPP is a 2-year program accepting up to 10 MW of renewable generation and 25 MW of carbon-neutral non-renewable generation from customer and community owned projects each year. In November 2018, SaskPower’s Net Metering Program was extended until November 30, 2021 or such a time when the program reaches 16 MW of new generation, whichever occurs first. The 16 MW cap for the net metering program was reached in mid-2019 due to a rapid increase in program participation. A modified Net Metering Program was subsequently launched in November 2019 with no limit on program capacity and no program end date. The new program creates certainty and a sustainable incentive for increased renewable energy in the province.  "
SaskPower Electricity Initiative 1,Electricity,CO2,Reduce GHG emissions from electricity generation and enhance supply of renewables,Voluntary Agreement,Implemented,2007,Saskatchewan,NEh,NEh,"SaskPower has a mandate to reduce emissions by 40% below 2005 levels by 2030. SaskPower has also set a target to achieve up to 50% of its generation capacity from renewable sources by 2030, doubling the percentage of renewables in the supply mix in 15 years. Meeting this target would significantly reduce greenhouse gas emissions– about 40% below 2005 levels in 2030. This will include the addition of 60 megawatts of solar generation by 2021 and up to 1,600 megawatts from wind by 2030. These reductions will also be met through carbon capture and storage technology.  "
SaskPower Electricity Initiative 2,Electricity,CO2,Reduce GHG emissions from electricity generation and enhance supply of renewables,Voluntary Agreement,Implemented,2018,Saskatchewan,NEh,NEh,"SaskPower has a mandate to reduce emissions by 40% below 2005 levels by 2030. SaskPower has also set a target to achieve up to 50% of its generation capacity from renewable sources by 2030, doubling the percentage of renewables in the supply mix in 15 years. Meeting this target would significantly reduce greenhouse gas emissions– about 40% below 2005 levels in 2030. This will include the addition of 60 megawatts of solar generation by 2021 and up to 1,600 megawatts from wind by 2030. These reductions will also be met through carbon capture and storage technology.  "
Manitoba Keeyask Hydro-electricity Project*,Electricity,"CO2, CH4,N2O",Increase renewable energy generation (local and export),Fiscal ,On going construction,2020,Manitoba ,NEh,3000,"Manitoba is constructing the Keeyask generating station, which will add 695 megawatts of renewable electricity capacity in the province by 2021, with its first generator expected to go into service in October 2020. The project will allow for GHG reductions of approximately 3.0 Mt per year in Saskatchewan and US states."
Manitoba last coalgenerating unit phase-out*,Electricity,"CO2, CH4,N2O",Phase out of coal-fired generating ,Regulatory ,Implemented,2018,Manitoba ,NAc,NAc,"Brandon Generation Station, which housed the last coal-fired generator in Manitoba, ceased operation of the coal unit ahead of schedule in August 2018, the generator was converted to use as a synchronous condenser in February 2019 providing greater reliability of Manitoba’s electrical grid. The phasing-out of coal is expected to reduce annual GHG emissions by 45,000-187,000 tonnes. The mitigation impact of this measure is included in the estimate for the federal measure Reduction of CO2 Emissions from the Amendments to the Coal-Fired Generation of Electricity Regulations."
Ontario Coal Phase Out*,Electricity,"CO2, CH4, N2O",Eliminate coalfired electricity generation and the associated GHG emissions,Regulatory,Implemented,2003,Ontario,NAc,NAc,"Initiated in 2003, coal-fired electricity was successfully eliminated from all Ontario Power Generation stations by April 2014, 19 generating units in total. In 2018, 93% of Ontario electricity generation came from emissions-free sources. The mitigation impact of this measure is included in the estimate for the federal measure Reduction of CO2 Emissions the Amendments to the Coal-Fired Generation of Electricity Regulations."
New Brunswick Phase-out Coal Fueled Electricity Generation,Electricity ,"CO2, N2O","Achieve GHG reductions through elimination of coal fueled electricity, or equivalent",Regulatory ,Implemented,2030,New Brunswick,NAc, NAc,"Eliminate coal-fueled electricity generation by 2030, or achieve an equivalent electricity-generation GHG reduction. The mitigation impact of this measure is included in the estimate for the federal measure Reduction of CO2 Emissions from the Amendments to the Coal-Fired Generation of Electricity Regulations."
"New Brunswick Electricity Act, Renewable Portfolio Standard Regulation, and Energy Efficiency Mandate*",Electricity,"CO2, N2O",Achieve 40% of renewable energy for electricity sold in New Brunswick ,Regulatory,Implemented,2014,New Brunswick ,178,NEh,"The Electricity from Renewable Resources Regulation requires 40% of electricity sold in New Brunswick to be from renewable sources by 2020. By 2020, 75% of New Brunswick’s electricity demand will be met by non-emitting or renewable sources. "
New Brunswick Output Based Pricing (OBPS) for Industry and Electricity* ,Electricity ,"CO2, CH4, N2O, HFCs, PFCs, SF6, NF3",Improve the carbon intensity of large industry and electricity generation,Regulatory ,Planned,2018,New Brunswick,NEe,500,New Brunswick submitted a design for a provincial output-based pricing system to the federal government as part of the annual federal stringency requirement process and requested that the federal government stand down the federal OBPS retroactively as of January 2019. Work in 2020 will be to prepare all appropriate legislation and regulatory requirements for implementing the provincial OBPS.
Nova Scotia Electricity Sector Regulations*,Electricity,"CO2, HFCs, CH4, N2O, SF6, PFCs",Reduce GHG emissions from the electricity sector and to increase the share of clean energy in the province’s energy use,Regulatory,Implemented,2009,Nova Scotia,NAc,NAc,"Nova Scotia has implemented two separate regulations to address emissions from the electricity sector and enhance the supply of renewables, which are together expected to result in emission reductions of at least 2,700 Kt CO2 eq in 2020. The Greenhouse Gas Emissions Regulations implement a mandatory declining cap on GHG emissions from electricity generation facilities. From a baseline of 10.2 Mt (2007) the decreases are scheduled in progressive steps so the emissions will decline to 7,500 Kt or below by 2020 and further to 4,500 Kt or below by 2030. Total electricity GHG reduction in Nova Scotia for 2007 to 2030 will be at least 5,700 Kt CO2 eq. The Renewable Electricity Regulations require 40% of electricity supply to be generated from renewable sources by 2020. This will involve the adoption of a diverse mix of energy sources including wind, tidal, solar, hydro and bioenergy. The mitigation impact of this measure is included in the estimate for the federal measure Reduction of CO2 Emissions from the Amendments to the Coal-Fired Generation of Electricity Regulations."
Nova Scotia Electricity Efficiency Regulations,Electricity,CO2,Use energy more efficiently,Regulatory,Implemented,2014,Nova Scotia,NEc,NEc,"Nova Scotia created Canada’s first energy efficiency utility, Efficiency Nova Scotia. Since its creation, this independent organization has achieved annual reductions of 1.2% below the business as usual baseline. It also administers comprehensive energy efficiency programs for low income and First Nations Nova Scotians. The Electricity Efficiency and Conservation Restructuring Act (2014) requires Nova Scotia Power to purchase efficiency resources whenever they are lower cost than producing power. Efficiency resources are provided by Efficiency Nova Scotia for commercial, industrial, and residential consumers. Targets for electricity efficiency are guided by a periodic Integrated Resource Plan required by the Utility Board. GHG reductions achieved through electricity efficiency are included in the GHG reduction estimates provided for the Nova Scotia Greenhouse Gas Emissions Regulations. "
Prince Edward Island Wind Farm Development**,Electricity,CO2,Develop additional renewable electricity supply,Economic,Planned,2020,Prince Edward Island,NEh,22,"The PEI Energy Corporation has begun work on the first of two new wind farms; 30 MW in 2020 and 40 MW in 2025-26. Wind regime studies at four locations of interest were completed. Environmental impact analysis studies, Climate Lens Assessments and risk mitigation assessments have been completed for the three most favorable locations.  "
Prince Edward Island-New Brunswick Cable Interconnection Upgrade Project*,Electricity,CO2,"Deliver reliable, long-term energy, and balance the growing wind energy supply",Economic,Implemented,2017,"Prince Edward Island, New Brunswick ",NEh,NEh,"Prince Edward Island (PEI) completed a cable interconnection upgrade within the Northumberland Strait, between the provinces of Prince Edward Island and New Brunswick. Two 180 MW cables will help meet the growing demand for electricity on PEI, deliver reliable, long-term energy for Islanders, and help balance the intermittent nature of growing wind energy supply. "
Prince Edward Island Renewable Energy Act,Electricity,CO2,Pursue cleaner sources of energy and reduce reliance on imported energy,Regulatory,Implemented,2005,Prince Edward Island ,NEh,NEh,"The Renewable Energy Act established a minimum purchase price utilities must pay for power produced by large-scale renewable energy generators and makes it economically feasible for Island homeowners, small businesses or farmers who have an interest in generating their own electricity to install small-scale generating systems through netmetering. Currently about 25% of Prince Edward Island’s electricity consumption is sourced from on-island wind farms. "
Newfoundland and Labrador Muskrat Falls hydroelectric project*,Electricity,"CO2, CH4,N2O",Implement Muskrat Falls hydroelectric project ,Economic,Planned,2020,Newfoundland and Labrador,1400,1400,This project will allow for the closure of a thermal oil generating facility and will result in 98% of electricity consumption in the province coming from renewable sources. The project will also allow for GHG reductions of at least 1 Mt per year in other provinces such as Nova Scotia. The project is expected to be completed in 2020.
Newfoundland and Labrador renewable electricity strategy ,Electricity,"CO2, CH4, N2O",Renewable electricity strategy,Economic,Planned,2019,Newfoundland and Labrador,NEh,NEh,"Building on the Muskrat Falls development which will reduce GHG emissions in Newfoundland and Labrador by 10% once operational, Newfoundland and Labrador announced a renewable energy strategy in 2019 that will, among other items, to increase capacity and demand for renewable electricity in isolated diesel systems in the province’s northern, remote and Indigenous communities. "
Yukon Energy Corporation/ ATCO Electric InCharge Program,Electricity,CO2,Reduce GHG emissions from fossil fuel electricity generation ,Voluntary Agreement,Implemented,2014,Yukon,NEd,NEd,"Yukon Energy Corporation and ATCO introduced InCharge in 2014 to promote a culture of electricity conservation in Yukon’s residential sector. The initiative consists of three programs; the LED and Automotive Heater Timer Rebate Program, the Low Cost Energy Efficient Products Program and an Engagement, Education and Communication Program. The anticipated annual net savings with transmission and distribution losses is expected to reach 2,644 MWh by 2018. The plan is expected to generate indirect, rather than direct, emissions reductions."
Yukon Independent Power Production Policy ,Electricity,"CO2, CH4, N2O",Reduce diesel consumption for electricity and heat generation, Economic,Implemented,2019,Yukon,1,NEh,"To assist large scale power producers, the Government of Yukon has adopted the Independent Power Production (IPP) Policy which aims at enabling independent, non-utility electricity producers to sell electricity to Yukon’s two public utilities through renewable energy technologies, such as wind power, micro-hydro, biomass and solar electric (or photovoltaic) systems. The IPP policy was fully implemented in January 2019 and three projects were reviewed and approved by July 2019. These projects have a total forecast generation of 10.6 GWh, which is half the generation cap available under the policy’s Standing Offer Program. The first project should be operational by mid-2020 and is expected to reduce emissions by 680 tonnes CO2 eq per year."
Yukon Microgeneration Policy,Electricity,"CO2, CH4, N2O",Reduce diesel consumption for electricity and heat generation,Economic,Implemented,2014,Yukon,1,NEh,"To assist small scale power producers, the Government of Yukon’s Microgeneration Policy enables individuals and businesses to install electrical generating systems and connect them to the grid. The electricity generated is consumed on site and any surplus can be sold into the grid. From when it was announced in October 2013, to July 2019, 243 microgeneration systems have been installed which are expected to generate 2.7 GWh per year. The program is expected to deliver direct reductions in the short term, with indirect, longer term impacts expected.   "
Northwest Territories Arctic Energy Alliance Outreach,Electricity,CO2,"Educate, raise awareness and help residents adopt energy saving practices",Education,Implemented,2007,Northwest Territories,NEh,NEh,"The Arctic Energy Alliance, a non-profit organization, provides free information, advice, incentives and answers to questions from residents of the Northwest Territories on energy efficiency and hosts annual Energy Actions Awards. The Arctic Energy Alliance also conducts energy audits to educate residents on how to reduce home energy consumption.  "
Northwest Territories Capital Asset Retrofit Fund,Electricity,CO2,To implement energy efficiencies across territorialowned building and assets,Fiscal,Implemented,2008,Northwest Territories,12.5,20,"The Northwest Territories has initiated the Capital Asset Retrofit Fund to improve building efficiency for territorial owned assets through energy audits, building surveys and energy benchmarking. "
Nunavut’s Net Metering Program,Electricity,CO2,Reduction of fossil fuel consumption ,Economic,Implemented ,2018,Nunavut’s Utility (Qulliq Energy Corporation),NEh,NEh,"Launched on April 10, 2018, this program encourages hamlet and residential customers to install their own renewable energy system and offers energy credits for communities and individuals for feeding energy back into the Qulliq Energy Corporation's energy grid."
Nunavut’s Independent Power Producer (IPP) Program,Electricity,CO2,Reduction of fossil fuel consumption,Economic,Planned,2019,Nunavut’s Utility (Qulliq Energy Corporation),NEh,NEh,"On Nov 8, 2018, Qulliq Energy Corporation (QEC) received approval from the Government of Nunavut to amend the QEC Act to enable the corporation to purchase power from Independent Power Producers (IPPs). QEC is in the process of developing the technical and policy requirements for the program, with an anticipated launch in 2019 once Cabinet approval is received. QEC will pay up to the avoided cost of diesel for any energy produced by an IPP."
Canada’s Action Plan to Reduce GHG Emissions from Aviation*,Transportation,"CO2, CH4, N2O",Reduce GHG emissions from the aviation sector,Voluntary Agreement ,Implemented ,2012,Transport Canada,NEd,NEd,"The Action Plan is a comprehensive voluntary approach between Transport Canada and the Canadian aviation industry to reduce the sector’s GHG emissions. It sets a target to improve fuel efficiency by an annual average of 1.5% until 2020, measured against a 2008 baseline, and outlines a series of supporting measures. Annual reports are published on Transport Canada’s website demonstrating progress under the plan. The Action Plan also forms the basis for the Government of Canada’s response to the International Civil Aviation Organization’s Assembly Resolution A37-19."
Carbon Dioxide Standards for Aviation,Transportation,CO2,Reduce GHG emissions from new airplanes,Regulatory,Planned,2020,Transport Canada,NAe,NEe,Canada participated in the development of a new international CO2 standard for new and in-production airplanes through the Committee on Aviation Environmental Protection at the International Civil Aviation Organization (ICAO). ICAO has adopted the new standard and Canada is working towards adopting the new standard into the Canadian Aviation Regulations in early 2020.
Carbon Offsetting and Reduction Scheme for International Aviation,Transportation,CO2,Reduce carbon emissions from international aviation ,Regulatory,Implemented,2019,Transport Canada,NEe,NEe,"The Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA) is an international initiative by the International Civil Aviation Organization (ICAO) that requires operators to acquire and cancel emissions units to offset a portion of their CO2 emissions from 2021 to 2035. Its role is to complement a broader basket of measures to achieve carbon neutral growth for international aviation from 2020 onwards. Canada is a signatory to CORSIA alongside 192 other member states. CORSIA is a market-based measure requiring affected air operators to purchase eligible emission units on the open market to offset a portion of their emissions. Canada began the monitoring, reporting, and verification portion of CORSIA on January 1, 2019. Regulations for the offsetting component of CORSIA will be completed by 2021."
ecoTECHNOLOGY for Vehicles Program,Transportation,"CO2, CH4, N2O","Support development of low-emission vehicle regulations, standards, etc.","Research, Information",Implemented,2011,Transport Canada,NEd,NEd,"The ecoTECHNOLOGY for Vehicles program proactively tests, evaluates, and provides expert technical information about the environmental and safety performance of advanced on-road vehicle technologies, including light-duty and heavy-duty vehicles. The program shares technical findings to inform the development of vehicle emission regulations; to guide the proactive development of new or revised safety regulations, standards, codes and guidelines; and to support the development of non-regulatory industry codes and standards to help integrate new clean vehicle technologies into Canada in a safe and timely manner."
